# MPIHandler:Power MPIHandler:pTmin0 ColourReconnector:ReconnectionProbability RemnantDecayer:colourDisrupt MPIHandler:InvRadius N
3.006481e-01 6.076485e+00 7.904716e-01 6.505742e-01 8.911178e-01 0000 
4.763909e-01 2.617558e+00 3.885984e-01 2.840418e-01 2.565898e+00 0001 
2.346447e-01 3.116378e+00 8.967321e-01 9.044400e-01 8.535616e-01 0002 
2.581942e-01 3.721610e+00 9.386585e-01 3.454956e-01 1.980225e+00 0003 
1.861607e-01 7.697085e+00 6.767500e-01 7.134917e-01 1.783255e+00 0004 
1.710945e-01 5.599059e+00 9.203835e-01 8.398161e-01 1.920967e+00 0005 
1.319018e-01 6.720433e+00 6.135281e-01 5.698282e-01 1.769780e+00 0006 
2.934178e-01 4.504025e+00 7.208913e-01 3.176519e-01 9.544670e-01 0007 
1.644395e-01 2.359866e+00 4.214299e-01 9.288073e-01 2.475375e+00 0008 
4.517089e-01 3.506541e+00 9.823631e-01 8.448247e-01 2.632618e+00 0009 
3.111870e-01 7.783371e+00 3.619091e-01 3.405173e-01 8.937733e-01 0010 
3.678773e-01 3.490930e+00 6.051394e-01 2.950650e-01 2.086942e+00 0011 
2.554381e-01 6.571804e+00 5.513771e-01 3.528557e-01 1.975986e+00 0012 
2.229793e-01 5.019456e+00 6.525361e-01 5.264136e-01 1.583109e+00 0013 
2.921157e-01 4.176091e+00 3.365053e-01 9.057572e-01 1.543041e+00 0014 
2.503108e-01 2.291384e+00 5.627358e-01 5.159292e-01 2.594581e+00 0015 
3.599203e-01 4.986902e+00 3.483506e-01 7.837117e-01 8.937116e-01 0016 
2.044820e-01 6.642893e+00 8.475479e-01 3.429103e-01 2.160201e+00 0017 
3.335509e-01 6.293207e+00 7.197396e-01 7.398215e-01 2.239644e+00 0018 
3.956574e-01 3.297135e+00 9.031854e-01 5.369200e-01 1.836155e+00 0019 
4.576406e-01 7.535936e+00 8.569873e-01 6.911825e-01 1.928459e+00 0020 
2.870703e-01 6.604109e+00 8.632369e-01 4.855145e-01 1.213839e+00 0021 
2.638822e-01 4.825421e+00 4.622130e-01 3.303451e-01 8.984017e-01 0022 
2.581168e-01 6.023929e+00 9.667646e-01 2.585092e-01 9.292073e-01 0023 
2.225785e-01 4.209574e+00 9.443792e-01 2.575620e-01 1.678104e+00 0024 
1.289487e-01 7.405192e+00 8.743805e-01 7.868702e-01 1.882579e+00 0025 
1.792286e-01 7.191414e+00 5.005942e-01 9.523651e-01 7.208383e-01 0026 
2.252442e-01 7.309757e+00 3.712246e-01 3.863806e-01 1.254653e+00 0027 
1.245372e-01 6.065052e+00 3.525952e-01 7.766143e-01 1.864696e+00 0028 
1.733882e-01 5.915735e+00 5.838873e-01 8.857942e-01 9.624248e-01 0029 
2.419773e-01 3.436968e+00 4.762524e-01 7.188680e-01 1.428779e+00 0030 
1.927652e-01 5.725627e+00 7.881365e-01 2.862139e-01 1.025265e+00 0031 
3.238278e-01 3.791750e+00 7.916550e-01 7.819688e-01 1.542749e+00 0032 
2.100312e-01 3.915916e+00 3.713658e-01 6.700723e-01 1.742577e+00 0033 
3.329567e-01 6.210603e+00 5.608639e-01 8.458388e-01 1.602649e+00 0034 
3.909471e-01 3.352898e+00 7.667006e-01 4.726265e-01 2.128164e+00 0035 
4.705498e-01 4.645276e+00 6.922127e-01 4.308038e-01 2.108663e+00 0036 
1.609806e-01 5.098467e+00 3.893916e-01 8.173982e-01 1.893282e+00 0037 
1.531213e-01 7.362188e+00 7.841850e-01 9.703231e-01 1.799984e+00 0038 
4.472584e-01 5.716021e+00 5.117454e-01 4.655397e-01 1.734277e+00 0039 
1.491963e-01 6.208873e+00 9.210532e-01 3.892181e-01 1.867405e+00 0040 
2.767096e-01 5.103275e+00 5.990027e-01 6.032847e-01 1.019353e+00 0041 
1.543283e-01 2.102446e+00 3.878716e-01 9.083021e-01 1.598764e+00 0042 
